
-----------------------------------------------------------------------------
Status                        Initial             Final
-----------------------------------------------------------------------------
Time[s]                       0                   0.2
Length[m]                     0                   0.200104
C6H5C2H5                      0.000000e+00        5.428005e-08
C6H5C2H2                      0.000000e+00        4.483764e-12
C6H5CHCH3                     0.000000e+00        2.090710e-10
C6H5C2H4                      0.000000e+00        7.389258e-13
C6H4C2H3                      0.000000e+00        1.660030e-12
C6H4C2H                       0.000000e+00        1.605492e-11
C8H2                          0.000000e+00        2.680797e-12
XYLENE                        0.000000e+00        1.392632e-08
RXYLENE                       0.000000e+00        6.462800e-11
INDENE                        0.000000e+00        1.761165e-07
INDENYL                       0.000000e+00        6.082139e-09
C10H7                         0.000000e+00        2.484332e-11
C10H7OH                       0.000000e+00        1.710615e-07
C10H7O                        0.000000e+00        2.017813e-09
C10H6CH3                      0.000000e+00        9.953260e-14
C10H7CH2                      0.000000e+00        1.609933e-10
C10H7CHO                      0.000000e+00        7.231318e-09
C10H7CH3                      0.000000e+00        5.663296e-08
CH3C10H6OH                    0.000000e+00        1.373778e-09
CH3C10H6O                     0.000000e+00        2.856160e-11
C12H8                         0.000000e+00        3.198669e-08
C12H7                         0.000000e+00        1.772127e-12
BIPHENYL                      0.000000e+00        1.068104e-06
C12H9                         0.000000e+00        3.173862e-13
FLUORENE                      0.000000e+00        7.875861e-10
C6H5CH2C6H5                   0.000000e+00        2.042808e-11
C14H10                        0.000000e+00        1.480347e-09
C14H9                         0.000000e+00        6.426758e-13
C16H10                        0.000000e+00        1.091457e-09
C16H9                         0.000000e+00        5.058094e-13
